2, 10.486816, 127.4375, 10.8125, 0.16560364, 1.8626451e-09, 1.862702e-09
4, 128.4414, 619.5, 18.90625, 2.0058594, 3.6870966e-07, 3.5762787e-07
8, 42.25, 369, 277.48438, 0.6503906, 4.4703484e-08, 4.7683716e-07
16, 206.75, 960, 468.5625, 0.515625, 1.0789593e-05, 8.533254e-06
32, 6861, 31648, 2994.375, 59.5, 6.844939e-06, 1.96605e-06
64, 5718.5, 4320, 2507.5, 10.875, 5.8988276e-06, 4.425074e-06
128, 30818.062, 5696, 4153.125, 20.875, 0.000107550826, 1.9108867e-05
256, 8486, 60416, 21204, 35, 0.0003774816, 0.00032868437
512, 174.25, 29184, 37490, 65.5, 0.00016049236, 0.00014189111
1024, 55230, 38912, 2506, 232, 0.00021253034, 0.0013597938
2048, 20666, 5120, 51670, 130, 0.0024726773, 0.0006144098
4096, 110413.5, 2048, 4624, 280, 0.0006126836, 0.0017290176
8192, 55560, 364544, 312672, 41976, 29.191341, 11.635464
16384, 202584, 1.056768e+06, 426016, 432672, 458.5418, 202.00291
32768, 140200, 1.753088e+06, 89984, 561408, 373.9237, 319.94678
65536, 388288, 2.228224e+06, 609384, 3.73664e+06, 1292.1259, 2249.7031
131072, 680736, 4.456448e+06, 96640, 210048, 2692.0654, 997.1078
262144, 544048, 8.650752e+06, 221568, 682752, 998.20856, 1573.5659
